date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:53	44928/44928	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:51%20GMT	https://plaiaundi.hezkuntza.net/es/prueba-de-acceso-a-ciclos	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/prueba-de-acceso-a-ciclos.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:53	34485/34485	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:52%20GMT	https://plaiaundi.hezkuntza.net/es/requisitos-acceso-fp	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/requisitos-acceso-fp.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:54	56112/56112	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:52%20GMT	https://plaiaundi.hezkuntza.net/es/pruebas-libres-fp	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/pruebas-libres-fp.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:54	34211/34211	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:53%20GMT	https://plaiaundi.hezkuntza.net/es/matricula-fp-2022-23	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/matricula-fp-2022-23.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:54	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:54%20GMT	https://plaiaundi.hezkuntza.net/es/comunicaciones	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/comunicaciones	(from https://plaiaundi.hezkuntza.net/es/)
13:44:58	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:57%20GMT	https://plaiaundi.hezkuntza.net/es/zona_alumnos	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/zona_alumnos	(from https://plaiaundi.hezkuntza.net/es/)
13:44:59	44569/44569	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:54%20GMT	https://plaiaundi.hezkuntza.net/es/listado_noticias	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/listado_noticias.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:59	25606/25606	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:58%20GMT	https://plaiaundi.hezkuntza.net/es/logse-loe	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/logse-loe.html	(from https://plaiaundi.hezkuntza.net/es/)
13:45:00	29081/29081	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:59%20GMT	https://plaiaundi.hezkuntza.net/es/tramites	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/tramites.html	(from https://plaiaundi.hezkuntza.net/es/)
13:45:00	28677/28677	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:59%20GMT	https://plaiaundi.hezkuntza.net/es/aplicacion-de-notas-y-faltas	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/aplicacion-de-notas-y-faltas.html	(from https://plaiaundi.hezkuntza.net/es/)
13:45:00	27138/27138	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:45:00%20GMT	https://plaiaundi.hezkuntza.net/es/ex-fp	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/ex-fp.html	(from https://plaiaundi.hezkuntza.net/es/)
13:45:00	29168/29168	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:45:00%20GMT	https://plaiaundi.hezkuntza.net/es/ebau	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/ebau.html	(from https://plaiaundi.hezkuntza.net/es/)
13:45:01	30122/30122	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:45:00%20GMT	https://plaiaundi.hezkuntza.net/es/docalumnos	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/docalumnos.html	(from https://plaiaundi.hezkuntza.net/es/)
